show_id,type,title,director,country,date_added,release_year,duration
s313,Movie,Aditi Mittal: Things They Wouldn't Let Me Say,Fazila Allana,India,"July 18, 2017",2017,63 min
s314,Movie,Adore,Anne Fontaine,"Australia, France","November 20, 2019",2013,111 min
s315,Movie,Adrift,Baltasar Kormákur,"Hong Kong, Iceland, United States","September 1, 2020",2018,96 min
s316,Movie,Adrishya,Sandeep Chatterjee,India,"December 31, 2019",2017,99 min
s317,Movie,Advantageous,Jennifer Phang,United States,"June 23, 2015",2015,92 min
s318,Movie,Adventures in Public School,Kyle Rideout,"Canada, United States","August 15, 2018",2018,86 min
s319,Movie,Aerials,S.A. Zaidi,United Arab Emirates,"May 7, 2020",2016,90 min
s321,Movie,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,"September 3, 2020",2020,63 min
s323,TV Show,Afronta! Facing It!,Juliana Vicente,Brazil,"October 31, 2020",2017,1 Season
s324,Movie,After,Jenny Gage,United States,"October 9, 2019",2019,106 min
s326,Movie,After Maria,Nadia Hallgren,United States,"May 24, 2019",2019,38 min
s327,Movie,After Porn Ends,Bryce Wagoner,United States,"May 27, 2019",2012,93 min
s328,Movie,After Porn Ends 3,Brittany Andrews,United States,"December 30, 2018",2018,87 min
s329,Movie,After the Raid,Rodrigo Reyes,"United States, Mexico","December 19, 2019",2019,25 min
s330,Movie,After We Collided,Roger Kumble,United States,"December 22, 2020",2020,105 min
s331,Movie,Aftermath,Elliott Lester,"United Kingdom, United States","March 15, 2020",2017,94 min
s332,Movie,Afterschool,Antonio Campos,United States,"August 13, 2020",2008,107 min
s333,Movie,Aftershock,Nicolás López,"United States, Chile","March 7, 2018",2012,89 min
s343,Movie,Aggretsuko: We Wish You a Metal Christmas,Rarecho,Japan,"December 20, 2018",2018,22 min
s344,Movie,Agneepath,Mukul Anand,India,"April 1, 2020",1990,174 min
s345,Movie,Agustín Aristarán: Soy Rada,Mariano Baez,Argentina,"February 16, 2018",2018,60 min
s346,Movie,Agyaat,Ram Gopal Varma,India,"October 1, 2018",2009,97 min
s347,Movie,Ahista Ahista,Shivam Nair,India,"December 31, 2019",2006,122 min
s348,Movie,Ai Weiwei: Never Sorry,Alison Klayman,United States,"March 1, 2018",2012,91 min
